clock_hz,count,first_us,min_us,mean_us,median_us,max_us,p95_us,model,model_sha256,build_id,flash_total_bytes,flash_model_bytes,flash_non_model_bytes,et_method_reserved_bytes,et_method_planned_bytes,et_method_runtime_and_inputs_bytes,et_method_used_bytes,et_method_peak_bytes,et_temp_reserved_bytes,et_temp_used_bytes,et_temp_peak_bytes,et_outside_model_object_bytes,et_outside_init_heap_delta_bytes,et_outside_persistent_bytes,et_total_pools_plus_persistent_bytes,runtime_static_bytes,input_pool_allocation_bytes,et_init_method_peak_bytes,et_init_temp_peak_bytes,invoke_heap_scope,invoke_heap_delta_bytes,diagnostic_heap_delta_bytes,ram_accounted_peak_bytes,validation_samples,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_executorch_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_validation_fixtures_bytes,flash_shared_merged_strings_bytes,flash_size_build_total_bytes,flash_size_build_model_bytes,flash_size_build_non_model_bytes,flash_size_build_runtime_filtered_bytes,flash_size_build_model_plus_runtime_bytes,flash_size_build_executorch_core_bytes,flash_size_build_kernels_bytes,flash_size_build_cmsis_nn_bytes,flash_size_build_registry_bytes,flash_size_build_validation_fixtures_bytes,flash_size_build_shared_merged_strings_bytes,log,boot
400000000,100,5423.135,5314.595,5316.902625,5316.8875,5319.3575,5318.6825,kws,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,build-e8-et-tiny-artifacts-v7-dtcm-latency,249044,42416,206628,262144,20464,8008,28472,28472,65536,0,0,152,656,808,29280,300,0,28472,212,inference_batch_v1,0,200,29580,1,52030,94446,23808,5534,19420,3268,502,27325,207508,42416,165092,36892,79308,12398,3030,19420,2044,502,5095,logs/kws-20260917-140133-125843.log,1
400000000,100,5425.805,5314.66,5316.840300000001,5316.8575,5319.33,5318.2925000000005,kws,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,build-e8-et-tiny-artifacts-v7-dtcm-latency,249044,42416,206628,262144,20464,8008,28472,28472,65536,0,0,152,656,808,29280,300,0,28472,212,inference_batch_v1,0,200,29580,1,52030,94446,23808,5534,19420,3268,502,27325,207508,42416,165092,36892,79308,12398,3030,19420,2044,502,5095,logs/kws-20260917-140133-125843.log,2
400000000,100,5424.995,5314.6325,5316.974150000001,5316.88875,5319.955,5318.695,kws,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,build-e8-et-tiny-artifacts-v7-dtcm-latency,249044,42416,206628,262144,20464,8008,28472,28472,65536,0,0,152,656,808,29280,300,0,28472,212,inference_batch_v1,0,200,29580,1,52030,94446,23808,5534,19420,3268,502,27325,207508,42416,165092,36892,79308,12398,3030,19420,2044,502,5095,logs/kws-20260917-140133-125843.log,3
400000000,100,13664.6425,13633.43,13655.4074,13653.470000000001,13693.34,13682.57,ic,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,build-e8-et-tiny-artifacts-v7-dtcm-latency,298684,96152,202532,262144,49728,8920,58648,58648,65536,0,0,152,656,808,59456,288,0,58648,200,inference_batch_v1,0,200,59744,1,45602,141754,23808,5134,13380,3280,3082,27077,257436,96152,161284,30530,126682,12398,2698,13380,2054,3082,5077,logs/ic-20260917-140241-788859.log,1
400000000,100,13670.1175,13640.975,13674.1166,13674.155,13699.925000000001,13691.615,ic,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,build-e8-et-tiny-artifacts-v7-dtcm-latency,298684,96152,202532,262144,49728,8920,58648,58648,65536,0,0,152,656,808,59456,288,0,58648,200,inference_batch_v1,0,200,59744,1,45602,141754,23808,5134,13380,3280,3082,27077,257436,96152,161284,30530,126682,12398,2698,13380,2054,3082,5077,logs/ic-20260917-140241-788859.log,2
400000000,100,13664.612500000001,13628.99,13649.57315,13646.405,13687.28,13668.395,ic,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,build-e8-et-tiny-artifacts-v7-dtcm-latency,298684,96152,202532,262144,49728,8920,58648,58648,65536,0,0,152,656,808,59456,288,0,58648,200,inference_batch_v1,0,200,59744,1,45602,141754,23808,5134,13380,3280,3082,27077,257436,96152,161284,30530,126682,12398,2698,13380,2054,3082,5077,logs/ic-20260917-140241-788859.log,3
400000000,100,19628.6875,19564.535,19580.49075,19576.73,19609.45,19602.0975,vww,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,build-e8-et-tiny-artifacts-v7-dtcm-latency,504572,270792,233780,262144,73728,21588,95316,95316,65536,0,0,152,656,808,96124,288,0,95316,212,inference_batch_v1,0,200,96412,1,52030,322822,23808,5534,19420,3268,27650,27325,463036,270792,192244,36892,307684,12398,3030,19420,2044,27650,5095,logs/vww-20260917-140334-615735.log,1
400000000,100,19625.357500000002,19563.285,19579.692375000002,19575.9575,19617.365,19607.2625,vww,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,build-e8-et-tiny-artifacts-v7-dtcm-latency,504572,270792,233780,262144,73728,21588,95316,95316,65536,0,0,152,656,808,96124,288,0,95316,212,inference_batch_v1,0,200,96412,1,52030,322822,23808,5534,19420,3268,27650,27325,463036,270792,192244,36892,307684,12398,3030,19420,2044,27650,5095,logs/vww-20260917-140334-615735.log,2
400000000,100,19623.5125,19563.535,19580.14535,19576.006250000002,19613.1225,19601.305,vww,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,build-e8-et-tiny-artifacts-v7-dtcm-latency,504572,270792,233780,262144,73728,21588,95316,95316,65536,0,0,152,656,808,96124,288,0,95316,212,inference_batch_v1,0,200,96412,1,52030,322822,23808,5534,19420,3268,27650,27325,463036,270792,192244,36892,307684,12398,3030,19420,2044,27650,5095,logs/vww-20260917-140334-615735.log,3
400000000,100,1193.9425,1178.18,1183.988225,1184.54,1186.2425,1185.71,ad,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,build-e8-et-tiny-artifacts-v7-dtcm-latency,458516,279968,178548,262144,768,4480,5248,5248,65536,0,0,152,656,808,6056,192,0,5248,166,inference_batch_v1,0,200,6248,1,27848,307816,23808,456,1552,2032,1280,23648,423108,279968,143140,15322,295290,12398,280,1552,1092,1280,4951,logs/ad-20260917-140454-322069.log,1
