clock_hz,count,first_us,min_us,mean_us,median_us,max_us,p95_us,model,model_sha256,build_id,flash_total_bytes,flash_model_bytes,flash_non_model_bytes,et_method_reserved_bytes,et_method_planned_bytes,et_method_runtime_and_inputs_bytes,et_method_used_bytes,et_method_peak_bytes,et_temp_reserved_bytes,et_temp_used_bytes,et_temp_peak_bytes,et_outside_model_object_bytes,et_outside_init_heap_delta_bytes,et_outside_persistent_bytes,et_total_pools_plus_persistent_bytes,runtime_static_bytes,input_pool_allocation_bytes,et_init_method_peak_bytes,et_init_temp_peak_bytes,invoke_heap_scope,invoke_heap_delta_bytes,diagnostic_heap_delta_bytes,ram_accounted_peak_bytes,validation_samples,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_executorch_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_validation_fixtures_bytes,flash_shared_merged_strings_bytes,flash_size_build_total_bytes,flash_size_build_model_bytes,flash_size_build_non_model_bytes,flash_size_build_runtime_filtered_bytes,flash_size_build_model_plus_runtime_bytes,flash_size_build_executorch_core_bytes,flash_size_build_kernels_bytes,flash_size_build_cmsis_nn_bytes,flash_size_build_registry_bytes,flash_size_build_validation_fixtures_bytes,flash_size_build_shared_merged_strings_bytes,log,boot
400000000,100,5922.86,5818.6275000000005,5825.037625,5825.26625,5830.095,5829.6825,kws,206dc7a286bad78bf60d4671e6a8ca329fc46800b1aae9b81ba4ef8f22e6b1d1,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,245220,38576,206644,262144,20464,5056,25520,25520,65536,0,0,152,656,808,26328,300,0,25520,212,inference_batch_v1,0,200,26628,1,52030,90606,23808,5534,19420,3268,502,27341,203668,38576,165092,36892,75468,12398,3030,19420,2044,502,5095,logs/kws-20260917-154015-231689.log,1
400000000,100,5913.395,5818.7475,5825.573175,5825.618750000001,5834.1775,5830.1025,kws,206dc7a286bad78bf60d4671e6a8ca329fc46800b1aae9b81ba4ef8f22e6b1d1,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,245220,38576,206644,262144,20464,5056,25520,25520,65536,0,0,152,656,808,26328,300,0,25520,212,inference_batch_v1,0,200,26628,1,52030,90606,23808,5534,19420,3268,502,27341,203668,38576,165092,36892,75468,12398,3030,19420,2044,502,5095,logs/kws-20260917-154015-231689.log,2
400000000,100,5921.72,5818.3,5825.4433,5825.055,5831.3175,5830.81,kws,206dc7a286bad78bf60d4671e6a8ca329fc46800b1aae9b81ba4ef8f22e6b1d1,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,245220,38576,206644,262144,20464,5056,25520,25520,65536,0,0,152,656,808,26328,300,0,25520,212,inference_batch_v1,0,200,26628,1,52030,90606,23808,5534,19420,3268,502,27341,203668,38576,165092,36892,75468,12398,3030,19420,2044,502,5095,logs/kws-20260917-154015-231689.log,3
400000000,100,15267.7675,15261.725,15288.4655,15289.407500000001,15322.01,15308.960000000001,ic,e91b8d270ade7c017c298bcc6d4cee26c487c0e6500367c91fbc17606e3c10b2,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,294476,91928,202548,262144,49728,5640,55368,55368,65536,0,0,152,656,808,56176,288,0,55368,200,inference_batch_v1,0,200,56464,1,45602,137530,23808,5134,13380,3280,3082,27093,253212,91928,161284,30530,122458,12398,2698,13380,2054,3082,5077,logs/ic-20260917-154103-725715.log,1
400000000,100,15270.5425,15254.255000000001,15285.595825,15285.237500000001,15315.11,15308.315,ic,e91b8d270ade7c017c298bcc6d4cee26c487c0e6500367c91fbc17606e3c10b2,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,294476,91928,202548,262144,49728,5640,55368,55368,65536,0,0,152,656,808,56176,288,0,55368,200,inference_batch_v1,0,200,56464,1,45602,137530,23808,5134,13380,3280,3082,27093,253212,91928,161284,30530,122458,12398,2698,13380,2054,3082,5077,logs/ic-20260917-154103-725715.log,2
400000000,100,15291.9025,15259.415,15294.69425,15292.3475,15343.025,15321.125,ic,e91b8d270ade7c017c298bcc6d4cee26c487c0e6500367c91fbc17606e3c10b2,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,294476,91928,202548,262144,49728,5640,55368,55368,65536,0,0,152,656,808,56176,288,0,55368,200,inference_batch_v1,0,200,56464,1,45602,137530,23808,5134,13380,3280,3082,27093,253212,91928,161284,30530,122458,12398,2698,13380,2054,3082,5077,logs/ic-20260917-154103-725715.log,3
400000000,100,21475.5775,21416.8475,21450.4431,21451.87375,21480.29,21468.38,vww,15fc83830bddb65f8966103d735a4058f8c1284e3159b551549b40df92280b65,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,492940,259144,233796,262144,73728,12372,86100,86100,65536,0,0,152,656,808,86908,288,0,86100,212,inference_batch_v1,0,200,87196,1,52030,311174,23808,5534,19420,3268,27650,27341,451388,259144,192244,36892,296036,12398,3030,19420,2044,27650,5095,logs/vww-20260917-154159-374797.log,1
400000000,100,21485.9425,21425.5825,21449.935525000004,21449.978750000002,21482.015,21468.072500000002,vww,15fc83830bddb65f8966103d735a4058f8c1284e3159b551549b40df92280b65,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,492940,259144,233796,262144,73728,12372,86100,86100,65536,0,0,152,656,808,86908,288,0,86100,212,inference_batch_v1,0,200,87196,1,52030,311174,23808,5534,19420,3268,27650,27341,451388,259144,192244,36892,296036,12398,3030,19420,2044,27650,5095,logs/vww-20260917-154159-374797.log,2
400000000,100,21455.6275,21420.245,21448.832275,21450.32375,21477.635000000002,21470.6925,vww,15fc83830bddb65f8966103d735a4058f8c1284e3159b551549b40df92280b65,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,492940,259144,233796,262144,73728,12372,86100,86100,65536,0,0,152,656,808,86908,288,0,86100,212,inference_batch_v1,0,200,87196,1,52030,311174,23808,5534,19420,3268,27650,27341,451388,259144,192244,36892,296036,12398,3030,19420,2044,27650,5095,logs/vww-20260917-154159-374797.log,3
400000000,100,1214.0275,1204.1000000000001,1208.05025,1208.255,1209.38,1209.08,ad,ced0e14f92f39f467ddad0312de5856574414b2c99cf05be957db01921a07d5e,build-e8-et-tiny-artifacts-v8-sram-integer-pooling-latency,457124,278560,178564,262144,768,3552,4320,4320,65536,0,0,152,656,808,5128,192,0,4320,166,inference_batch_v1,0,200,5320,1,27848,306408,23808,456,1552,2032,1280,23664,421700,278560,143140,15322,293882,12398,280,1552,1092,1280,4951,logs/ad-20260917-154254-830101.log,1
