clock_hz,count,first_us,min_us,mean_us,median_us,max_us,p95_us,model,model_sha256,build_id,flash_total_bytes,flash_model_bytes,flash_non_model_bytes,arena_reserved_bytes,arena_head_bytes,arena_persistent_bytes,arena_init_peak_bytes,arena_invoke_peak_bytes,arena_peak_bytes,arena_audit_overhead_bytes,arena_raw_peak_bytes,outside_model_object_bytes,outside_init_heap_delta_bytes,outside_interpreter_object_bytes,outside_persistent_bytes,ram_inference_peak_bytes,ram_lifecycle_arena_plus_persistent_bytes,invoke_allocation_calls,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_tflm_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_shared_merged_strings_bytes,flash_size_build_total_bytes,flash_size_build_model_bytes,flash_size_build_non_model_bytes,flash_size_build_runtime_filtered_bytes,flash_size_build_model_plus_runtime_bytes,flash_size_build_tflm_core_bytes,flash_size_build_kernels_bytes,flash_size_build_cmsis_nn_bytes,flash_size_build_registry_bytes,flash_size_build_shared_merged_strings_bytes,log,boot
400000000,100,6132.76,6029.775000000001,6037.7615749999995,6037.81125,6043.235,6041.3475,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v3-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17846,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-120646-321577.log,1
400000000,100,6137.245,6033.0525,6037.617975,6037.6475,6043.4925,6040.3675,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v3-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17846,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-120646-321577.log,2
400000000,100,6130.99,6033.2175,6037.896374999999,6037.80375,6044.1425,6041.4075,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v3-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17846,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-120646-321577.log,3
400000000,100,15649.585000000001,15624.397500000001,15658.6796,15658.7925,15694.192500000001,15685.0425,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v3-latency,278020,98496,179524,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17631,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-120726-901551.log,1
400000000,100,15657.58,15615.4275,15639.656775,15638.065,15685.192500000001,15662.4375,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v3-latency,278020,98496,179524,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17631,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-120726-901551.log,2
400000000,100,15650.65,15635.5875,15660.283174999999,15659.456250000001,15692.1675,15679.3775,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v3-latency,278020,98496,179524,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17631,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-120726-901551.log,3
400000000,100,24034.3475,23969.4075,23996.0168,23995.77,24021.825,24013.22,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v3-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17846,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-120819-431275.log,1
400000000,100,24035.965,23964.5325,23992.8852,23992.2375,24017.482500000002,24011.5125,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v3-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17846,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-120819-431275.log,2
400000000,100,24001.63,23965.1325,23994.0486,23994.61875,24023.81,24012.0675,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v3-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17846,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-120819-431275.log,3
400000000,100,1210.3225,1203.2825,1204.62915,1204.69,1205.425,1205.2,ad,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,build-e8-tflm-tiny-artifacts-v3-latency,430660,276976,153684,262144,768,8500,262112,9268,262112,32,262144,112,496,208,608,9876,262720,0,19726,296702,11030,2734,5684,278,14355,419444,276976,142468,17726,294702,9748,2060,5684,234,6978,logs/ad-20260917-120911-525749.log,1
