clock_hz,count,first_us,min_us,mean_us,median_us,max_us,p95_us,model,model_sha256,build_id,flash_total_bytes,flash_model_bytes,flash_non_model_bytes,arena_reserved_bytes,arena_head_bytes,arena_persistent_bytes,arena_init_peak_bytes,arena_invoke_peak_bytes,arena_peak_bytes,arena_audit_overhead_bytes,arena_raw_peak_bytes,outside_model_object_bytes,outside_init_heap_delta_bytes,outside_interpreter_object_bytes,outside_persistent_bytes,ram_inference_peak_bytes,ram_lifecycle_arena_plus_persistent_bytes,invoke_allocation_calls,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_tflm_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_shared_merged_strings_bytes,flash_size_build_total_bytes,flash_size_build_model_bytes,flash_size_build_non_model_bytes,flash_size_build_runtime_filtered_bytes,flash_size_build_model_plus_runtime_bytes,flash_size_build_tflm_core_bytes,flash_size_build_kernels_bytes,flash_size_build_cmsis_nn_bytes,flash_size_build_registry_bytes,flash_size_build_shared_merged_strings_bytes,log,boot
400000000,100,5362.755,5288.3925,5289.9024,5289.905,5291.665,5290.8425,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17851,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-142145-207258.log,1
400000000,100,5360.425,5287.6325,5289.903125,5289.86375,5291.2475,5291.1050000000005,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17851,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-142145-207258.log,2
400000000,100,5360.965,5288.1625,5289.93605,5289.9175000000005,5291.9825,5291.2275,kws,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,239092,53936,185156,262144,20464,6884,262100,27348,262100,32,262132,292,496,208,788,28136,262888,0,46024,99960,11870,10964,22648,542,17851,222212,53936,168276,41862,95798,10548,8190,22648,476,6978,logs/kws-20260917-142145-207258.log,3
400000000,100,13641.130000000001,13598.1225,13625.43345,13624.17,13657.5525,13646.9775,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,278036,98496,179540,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17636,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-142246-986118.log,1
400000000,100,13645.15,13602.7875,13633.23075,13631.61,13687.1325,13662.8925,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,278036,98496,179540,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17636,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-142246-986118.log,2
400000000,100,13659.19,13593.817500000001,13622.867849999999,13622.4525,13659.8025,13644.3225,ic,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,278036,98496,179540,262144,49728,5300,262108,55028,262108,32,262140,292,496,208,788,55816,262896,0,40616,139112,11860,11666,16548,542,17636,261540,98496,163044,36614,135110,10538,9052,16548,476,6978,logs/ic-20260917-142246-986118.log,3
400000000,100,19465.8275,19416.8175,19437.406375,19436.3775,19489.6125,19451.7375,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17851,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-142346-701322.log,1
400000000,100,19470.79,19423.8525,19436.539675,19435.515,19479.1125,19444.9575,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17851,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-142346-701322.log,2
400000000,100,19465.0475,19423.162500000002,19437.258625000002,19435.4625,19479.322500000002,19451.8875,vww,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,518444,333288,185156,262144,73728,27044,262104,100772,262104,32,262136,292,496,208,788,101560,262892,0,46024,379312,11870,10964,22648,542,17851,501564,333288,168276,41862,375150,10548,8190,22648,476,6978,logs/vww-20260917-142346-701322.log,3
400000000,100,1161.3225,1110.3700000000001,1146.3328999999999,1149.6100000000001,1158.43,1157.1100000000001,ad,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,430660,276976,153684,262144,768,8500,262112,9268,262112,32,262144,112,496,208,608,9876,262720,0,19726,296702,11030,2734,5684,278,14360,419444,276976,142468,17726,294702,9748,2060,5684,234,6978,logs/ad-20260917-142446-548009.log,1
