framework,model,profile,baseline_bundle,bundle,model_sha256,firmware_sha256,model_bytes,operators_bytes,core_bytes,dtcm_pool_reserved_bytes,dtcm_total_reserved_bytes,dtcm_unallocated_bytes,readonly_section_base,model_and_filtered_flash_unchanged,globals_heap_stack_unchanged
et,kws,latency,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,9bed7b0cdb9f7198069983c64e518b11c1e4bf6cd5414aad6e12f7d7d6b53b4e,42416,28222,23808,327680,434392,614184,0x80009c10,True,True
et,kws,size,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,d53d0d8bfb6cf6594d358f2c2902ca71c3345d9c17639ead2ec6208e03010c53,42416,24494,12398,327680,434392,614184,0x80009c10,True,True
et,ic,latency,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,356b616e1e1777b667a70742349ba4abf245feec651454bf1d7fb8a46d6df56d,96152,21794,23808,327680,434384,614192,0x80009c10,True,True
et,ic,size,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,d31f54b8a88e576f6075547fe9a2c0908e9855d51b089d9e79c63d697420b261,96152,18132,12398,327680,434384,614192,0x80009c10,True,True
et,vww,latency,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,2f613d1d9e388a3bae47b12c84de1256eabf1fb6c44d47a1d55742221c70109d,270792,28222,23808,327680,434384,614192,0x80009c10,True,True
et,vww,size,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,bd35d6c0265c850a9a8cf7a091fd3d2816d7c9ad8a40a8e7abe886dddb394816,270792,24494,12398,327680,434384,614192,0x80009c10,True,True
et,ad,latency,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,3ac81b813386a1484acbf0bda8a8a119c45cd09754e3e094516ec65d050944b3,279968,4040,23808,327680,434288,614288,0x80009be0,True,True
et,ad,size,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v7-dtcm,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,6eb5f4fa6e10b4defc06defe3a945c09326ed2bc905df0cd66aa02c3dc7d04a0,279968,2924,12398,327680,434288,614288,0x80009be0,True,True
tflm,kws,latency,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v4-dtcm,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,d6c1be2f0110c6090605a934b05f6930be2f8e7e083e4c04012e9619eef0767c,53936,34154,11870,262144,368536,680040,0x80009bb0,True,True
tflm,kws,size,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v4-dtcm,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,a0813f137223819269a856d13f114ea6517766319c5022b1bad1bec0bfa39fbe,53936,31314,10548,262144,368528,680048,0x80009bb0,True,True
