framework,model,profile,logging,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,excluded_support_bytes,model_sha256,firmware_sha256,elf_sha256,bundle
TFLM,kws,size,False,53936,10548,67864,12348,55040,476,132348,258772,126424,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,35dfc0568ef26332404739f2ec04a0c884a1021fb5a80de818ee2a926ec32798,76f64e8bf5e920cb6133ee4d17ec59fc9b3b3baa50e1d23d91d38ef2a628cd13,build-e8-tflm-tiny-artifacts-v2
TFLM,kws,latency,True,53936,11870,71054,15472,55040,542,136860,276580,139720,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,47d15eb42ed3889015a6eca770e4789a6069f40b6de05b42734b64c4e0775374,f4f49bb0d26d2a47266140f41b78af69a3bdda5c4d11d07dbe6522db5838900b,build-e8-tflm-tiny-artifacts-v2
TFLM,ic,size,False,98496,10538,57158,14998,41684,476,166192,292628,126436,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,b6b95a6a987f6136eebd56b561c26f65cff40c6f4cfca286df464a3141db7156,a55689571ad9c4643d39ad7f8bc6ba6d8bc32e79ef3d3344f6025aaac3d9e87e,build-e8-tflm-tiny-artifacts-v2
TFLM,ic,latency,True,98496,11860,60190,17964,41684,542,170546,310052,139506,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,1bd86fa252aecefbc577865e8054a9fea3ce5deb3ec561a330b6effa4c08721b,4ae7b7c1fdfc91a43df8fb75694268127f91ea284d983a3e5e171f4fabd21cfc,build-e8-tflm-tiny-artifacts-v2
TFLM,vww,size,False,333288,10548,67864,12348,55040,476,411700,538124,126424,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,b908e81540810d8f55be500698897e908aeccf2fbebc3e19918b10c23abe2fd6,ebbabca1a71b7aaedb911a7ac04102afe0838a0d94850c8efc46ddf5a699d7d4,build-e8-tflm-tiny-artifacts-v2
TFLM,vww,latency,True,333288,11870,71054,15472,55040,542,416212,555932,139720,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,cfb699445c3f68e6d017597993788376743e01147b46e114a6e6af2c2d67b831,16d261cdc724418d48b92ec49113a5273c7af59ef2d2b31cee8cc8907686e38e,build-e8-tflm-tiny-artifacts-v2
TFLM,ad,size,False,276976,9748,12212,2810,9168,234,298936,423684,124748,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,dc1504bacb0629498696a2138e1c257a740af6ece082261f8d4bf602afcec6df,868bfd9bad53929b6a623afa8c132bf409d412377024e2587cd62ed177c77ae5,build-e8-tflm-tiny-artifacts-v2
TFLM,ad,latency,True,276976,11030,13140,3694,9168,278,301146,435636,134490,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,c7c6cc4f72d6bc32919c1c86bbd17e8f5868660fa7289300dd4efc01e39d39eb,b19a2a6ea6211711bba8b6f0657b74b7deddba1ff335b54031a7346368543681,build-e8-tflm-tiny-artifacts-v2
ExecuTorch,kws,size,False,42800,12398,26150,4366,19420,2364,81348,210660,129312,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,ed4172ba4de606368bb18fdfff87ced0da8f172c7ea6c7c46bd3f8dda2610b0f,dfaace960b20ef566537a5eeeba82f41e560cb97fb578a5acb68b3ad05e0c1dd,build-e8-et-tiny-artifacts-v5
ExecuTorch,kws,latency,True,42800,23808,30802,7546,19420,3836,97410,254660,157250,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,a8654d2016ae971e8bdaada7894e604663e7cb6d5f425aeb3d921c824de1231e,236c83a1be37ee98828857b9a6c2e329d665a0cbfd446f46093abda60ab924b6,build-e8-et-tiny-artifacts-v5
ExecuTorch,ic,size,False,95896,12398,18132,2698,13380,2054,126426,263356,136930,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,2f96c3adf5e18272ea2553cf4308655a3a58a09e5aefd1d05b943e8a13374966,36e1b1adc560014a78799bd5b2714a59cf809b35f48ab20731b3c567e846a2fb,build-e8-et-tiny-artifacts-v5
ExecuTorch,ic,latency,True,95896,23808,21794,5134,13380,3280,141498,304604,163106,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,13bf10b1c30d1b2b80f9f70856d9f6925eba8422195194e9998602cd5f554369,00623d25717b6cfb608480fe5592014b0814684e94554e6761807044912085ad,build-e8-et-tiny-artifacts-v5
ExecuTorch,vww,size,False,267848,12398,24494,3030,19420,2044,304740,515404,210664,96a08cfe11bc319397c50b2f6472ab332cbe735d86d9c1ddf2dff9250dc89bf8,8548991e25f04737934842015a9629f5d601eb10993d3f256bb248f4ffefa165,45c6d2b99932fc74672a60824d6941a431939a82d569db65455d809a12749ebc,build-e8-et-tiny-artifacts-v5
ExecuTorch,vww,latency,True,267848,23808,28222,5534,19420,3268,319878,556940,237062,96a08cfe11bc319397c50b2f6472ab332cbe735d86d9c1ddf2dff9250dc89bf8,cc47c658dbac316eac17a8212b93c1382c15567829e2c35ac125153f205e2886,88d017abde717f5e8fdc6fe05e371178f057f4662020dca80b352b6d65275ed2,build-e8-et-tiny-artifacts-v5
ExecuTorch,ad,size,False,279968,12398,2924,280,1552,1092,295290,425700,130410,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,3784f10edceb5052f2cbabaab735567fb284ecdd304b8795f1ec1e3f3a141f70,ae755373349ae7392204fe10398340fef5cb7a52fbdc6ab9092d1d4f51c72c1d,build-e8-et-tiny-artifacts-v5
ExecuTorch,ad,latency,True,279968,23808,4040,456,1552,2032,307816,461092,153276,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,f255fa53cc64a5e6809d5ea72bacbb593213504bf67d15446fe69740dec3423c,7b2594239173cd27b3dcd3e7aeb2ad0fb821848e7cc0a5a27ebe3736891881d1,build-e8-et-tiny-artifacts-v5
