framework,model,profile,logging,inference_memory,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,model_sha256,firmware_sha256,elf_sha256,bundle,build_id,mean_cycles,mean_latency_ms,accounted_inference_ram_bytes,measurement_scope,excluded_support_bytes,registration_policy,boots,measured_inferences,results_file
TFLM,kws,latency,True,dtcm,53936,11870,34154,10964,22648,542,99960,239092,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,d6c1be2f0110c6090605a934b05f6930be2f8e7e083e4c04012e9619eef0767c,8c8a5bde4ff0a2a1cd03963d8099e3d963e13318a120690e297decbade8c7c35,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,2115965.5433333335,5.289913858333334,28136,E8 DTCM logged board run,,,,,
TFLM,kws,size,False,dtcm,53936,10548,31314,8190,22648,476,95798,222212,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,a0813f137223819269a856d13f114ea6517766319c5022b1bad1bec0bfa39fbe,60b3f47901799bfffa07a2a182ce7de9a2abdf46ca4374d20354bea60cad5a42,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
ExecuTorch,kws,latency,True,dtcm,42416,23808,28222,5534,19420,3268,94446,249044,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,9bed7b0cdb9f7198069983c64e518b11c1e4bf6cd5414aad6e12f7d7d6b53b4e,e50a47f145cf549526b8729dfa5ed7ab09271b8b16affcad7300f0ea85725861,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-latency,2126762.276666667,5.316905691666667,29580,E8 DTCM logged board run,,,,,
ExecuTorch,kws,size,False,dtcm,42416,12398,24494,3030,19420,2044,79308,207508,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,d53d0d8bfb6cf6594d358f2c2902ca71c3345d9c17639ead2ec6208e03010c53,e75723bdef10142c76ba19102b3abca1b6ced39ed0d54f97a5acfc349f071e3e,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
TFLM,ic,latency,True,dtcm,98496,11860,28756,11666,16548,542,139112,278036,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,193836d9f9e61d199f2715b4fc50d8e1d3c4cb43e582e0d1719d4b65c36171ad,235e825f2ca4fef10f6abad9ffbaf8395d60e7af2e69d63ba0be912fcabca519,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,5450870.94,13.62717735,55816,E8 DTCM logged board run,,,,,
TFLM,ic,size,False,dtcm,98496,10538,26076,9052,16548,476,135110,261540,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,d639ed7e282f03af49e6a7c548ed833d6e43c5f27a3dcb3d17a8371c653cb078,dc32b709af1e450e986913d533f3349e4416cce6b46b6403279650a3e77e1e35,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
ExecuTorch,ic,latency,True,dtcm,96152,23808,21794,5134,13380,3280,141754,298684,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,356b616e1e1777b667a70742349ba4abf245feec651454bf1d7fb8a46d6df56d,08d3863e108ceff457ce9a983dc08d142702a39156fe7874b1599a16f7d69cc8,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-latency,5463879.62,13.65969905,59744,E8 DTCM logged board run,,,,,
ExecuTorch,ic,size,False,dtcm,96152,12398,18132,2698,13380,2054,126682,257436,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,d31f54b8a88e576f6075547fe9a2c0908e9855d51b089d9e79c63d697420b261,83a3729123b5785098acd41ac45664f94342bd0f0725385370f203c64b18acb9,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
TFLM,vww,latency,True,dtcm,333288,11870,34154,10964,22648,542,379312,518444,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,aa2454247c4205e37a9b37f3610b46087683857dcbabb8305b7f3bb079d51b88,38a406d36f3faefb4ca2e7a7d38ecb198797913f17d6b6fe430f15554d57ff6f,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,7774827.29,19.437068225,101560,E8 DTCM logged board run,,,,,
TFLM,vww,size,False,dtcm,333288,10548,31314,8190,22648,476,375150,501564,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,bd179f5bc7c76e2fb5678ff52a06bd05a586367c5116c2da4ce7b537bd559caf,3461ef4b860242ff5577e5711f4cc7a5e5af20e384675ee87c1eaea0a49049be,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
