framework,model,profile,logging,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,excluded_support_bytes,model_sha256,firmware_sha256,elf_sha256,bundle,registration_policy,measurement_scope,mean_latency_ms,mean_cycles,accounted_inference_ram_bytes
TFLM,kws,latency,True,53936,11870,34154,10964,22648,542,99960,239092,139132,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,869fc9ff584a420249687eb56abe0331a856331900ba5dd9136d016b6c98bd7e,d65f9d405c428f22da5826956f0068868873be641347182edaf85242e7eb0c7d,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
TFLM,kws,size,False,53936,10548,31314,8190,22648,476,95798,222212,126414,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,cfc2dfbf92ccf7263d0a607e02a6e1fed9d8e89bd1556cfa7f88d7ad55f3bb59,a9dadc7dd5ee7b20d8bc5e42b49aea0679785a74bdf9a62a926ed49c1f3712e5,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
ExecuTorch,kws,latency,True,42800,23808,30802,7546,19420,3836,97410,254660,157250,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,a8654d2016ae971e8bdaada7894e604663e7cb6d5f425aeb3d921c824de1231e,236c83a1be37ee98828857b9a6c2e329d665a0cbfd446f46093abda60ab924b6,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
ExecuTorch,kws,size,False,42800,12398,26150,4366,19420,2364,81348,210660,129312,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,ed4172ba4de606368bb18fdfff87ced0da8f172c7ea6c7c46bd3f8dda2610b0f,dfaace960b20ef566537a5eeeba82f41e560cb97fb578a5acb68b3ad05e0c1dd,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
TFLM,ic,latency,True,98496,11860,28756,11666,16548,542,139112,278020,138908,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,fa349322cab8681a6ffa626be6d1a9d570a6d84de26540dc35f4cc68be80d7a0,0bfb6e4a3f99ea93ee4232afbb904c09a5c295a21de7e7f3fe39c20a5c14280d,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
TFLM,ic,size,False,98496,10538,26076,9052,16548,476,135110,261540,126430,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,3051154fa0d5491fdf06f9c1b9d7f59f2c94ab9bf53612bb3a455b40e5f07944,93d5850f45455b7beb0722b71a1c302aad71af9221d68214e07e77e42bdd9dd0,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
ExecuTorch,ic,latency,True,95896,23808,21794,5134,13380,3280,141498,304604,163106,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,13bf10b1c30d1b2b80f9f70856d9f6925eba8422195194e9998602cd5f554369,00623d25717b6cfb608480fe5592014b0814684e94554e6761807044912085ad,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
ExecuTorch,ic,size,False,95896,12398,18132,2698,13380,2054,126426,263356,136930,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,2f96c3adf5e18272ea2553cf4308655a3a58a09e5aefd1d05b943e8a13374966,36e1b1adc560014a78799bd5b2714a59cf809b35f48ab20731b3c567e846a2fb,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
TFLM,vww,latency,True,333288,11870,34154,10964,22648,542,379312,518444,139132,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,1aa71b6db5288bc25e9d650bc79b44b5b8c9b321ed16303cdff5456711414312,1c5a53c725426ce84915a35048a5fb0b37be20edca9460803ee7002a90df214b,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
TFLM,vww,size,False,333288,10548,31314,8190,22648,476,375150,501564,126414,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,731ea2570bdbca42baed9544e44c8c6a5a50d9f7bd8e242b72fb7031af8b3c57,ef5dc017326151bfa9f3cd77b8ddff0b2c27717103ecaa555b288756807145f4,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
