framework,model,profile,logging,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,excluded_support_bytes,model_sha256,firmware_sha256,elf_sha256,bundle,registration_policy,mean_latency_ms,mean_cycles,accounted_inference_ram_bytes,measurement_scope
TFLM,kws,latency,True,53936,11870,34154,10964,22648,542,99960,239092,139132,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,869fc9ff584a420249687eb56abe0331a856331900ba5dd9136d016b6c98bd7e,d65f9d405c428f22da5826956f0068868873be641347182edaf85242e7eb0c7d,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
TFLM,kws,size,False,53936,10548,31314,8190,22648,476,95798,222212,126414,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,cfc2dfbf92ccf7263d0a607e02a6e1fed9d8e89bd1556cfa7f88d7ad55f3bb59,a9dadc7dd5ee7b20d8bc5e42b49aea0679785a74bdf9a62a926ed49c1f3712e5,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
ExecuTorch,kws,latency,True,42416,23808,28222,5534,19420,3268,94446,249044,154598,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,f8d2b95cf5312ee44594d3e1184876ff0801fe8b787c4dfd06c74680f80885ad,12a9b8afa5d4097074a9cffa49a6114b26d2a68849fbea70b20106178122b411,build-e8-et-tiny-artifacts-v6,export_selected_cortex_m,,,,current_flash_e8_rerun_pending
ExecuTorch,kws,size,False,42416,12398,24494,3030,19420,2044,79308,207508,128200,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,5a074cd04c083ca16e47cfd6b44459f6397466d45a231e8eb3b35f670bcfe381,779f8b638f62243fdcebdcdc113f2e048d0fba3341940b47b7bb5b45e4de1d9c,build-e8-et-tiny-artifacts-v6,export_selected_cortex_m,,,,current_flash_e8_rerun_pending
TFLM,ic,latency,True,98496,11860,28756,11666,16548,542,139112,278020,138908,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,fa349322cab8681a6ffa626be6d1a9d570a6d84de26540dc35f4cc68be80d7a0,0bfb6e4a3f99ea93ee4232afbb904c09a5c295a21de7e7f3fe39c20a5c14280d,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
TFLM,ic,size,False,98496,10538,26076,9052,16548,476,135110,261540,126430,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,3051154fa0d5491fdf06f9c1b9d7f59f2c94ab9bf53612bb3a455b40e5f07944,93d5850f45455b7beb0722b71a1c302aad71af9221d68214e07e77e42bdd9dd0,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
ExecuTorch,ic,latency,True,96152,23808,21794,5134,13380,3280,141754,298684,156930,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,cc18f69d1afd32c1237d66f17000a8f90eeb6b651e50b4cf3f6616f5b7d2693c,385a2180324f1c12cda9a26d056b83727455111930c96e5f616cd2a6419b5d76,build-e8-et-tiny-artifacts-v6,export_selected_cortex_m,,,,current_flash_e8_rerun_pending
ExecuTorch,ic,size,False,96152,12398,18132,2698,13380,2054,126682,257436,130754,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,1da52bd1bc4bfe11e0bc2e3c0476b237e0954054689d9c462c3f09b0aef1bc96,6ce6225b0a8b627e78c568984bcb14b7142261972c43de38926a738b545a86c6,build-e8-et-tiny-artifacts-v6,export_selected_cortex_m,,,,current_flash_e8_rerun_pending
TFLM,vww,latency,True,333288,11870,34154,10964,22648,542,379312,518444,139132,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,1aa71b6db5288bc25e9d650bc79b44b5b8c9b321ed16303cdff5456711414312,1c5a53c725426ce84915a35048a5fb0b37be20edca9460803ee7002a90df214b,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
TFLM,vww,size,False,333288,10548,31314,8190,22648,476,375150,501564,126414,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,731ea2570bdbca42baed9544e44c8c6a5a50d9f7bd8e242b72fb7031af8b3c57,ef5dc017326151bfa9f3cd77b8ddff0b2c27717103ecaa555b288756807145f4,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,,,,current_flash_e8_rerun_pending
